Time,ManagementArea,Prescription,HarvestedSites,TotalCohortsCompleteHarvest,TotalCohortsPartialHarvest,TotalBiomassHarvested,CohortsHarvested_abiebals,CohortsHarvested_acerrubr,CohortsHarvested_acersacc,CohortsHarvested_betualle,CohortsHarvested_betupapy,CohortsHarvested_fraxamer,CohortsHarvested_piceglau,CohortsHarvested_pinubank,CohortsHarvested_pinuresi,CohortsHarvested_pinustro,CohortsHarvested_poputrem,CohortsHarvested_querelli,CohortsHarvested_querrubr,CohortsHarvested_thujocci,CohortsHarvested_tiliamer,BiomassHarvestedMg_abiebals,BiomassHarvestedMg_acerrubr,BiomassHarvestedMg_acersacc,BiomassHarvestedMg_betualle,BiomassHarvestedMg_betupapy,BiomassHarvestedMg_fraxamer,BiomassHarvestedMg_piceglau,BiomassHarvestedMg_pinubank,BiomassHarvestedMg_pinuresi,BiomassHarvestedMg_pinustro,BiomassHarvestedMg_poputrem,BiomassHarvestedMg_querelli,BiomassHarvestedMg_querrubr,BiomassHarvestedMg_thujocci,BiomassHarvestedMg_tiliamer,
5, 1, MaxAgeClearcut, 344, 3422, 0, 72454.0300000001, 85, 357, 146, 342, 257, 403, 12, 130, 54, 104, 485, 168, 342, 238, 299, 133.2, 1164.17, 336.77, 1696.33, 6920.50000000001, 1653.8, 20.16, 1938.43, 5446.71, 18580.64, 18788.2999999999, 8361.52, 2020.49, 4634.3, 758.71, 
5, 2, MaxAgeClearcut, 221, 3484, 0, 53561.1900000001, 663, 60, 120, 90, 0, 120, 985, 0, 573, 573, 0, 0, 90, 90, 120, 3553.74000000001, 61.2, 321.3, 192.3, 0, 239.4, 14365.8500000001, 0, 15127.2, 12644.2, 0, 0, 109.8, 6729.3, 216.9, 
10, 2, MaxAgeClearcut, 227, 4319, 0, 57151.56, 547, 258, 372, 331, 72, 444, 553, 0, 288, 304, 76, 0, 331, 315, 428, 2098.96, 478.68, 951.83, 1227.69, 4290.72, 1226.06, 7317.83999999998, 0, 7603.19999999999, 9213.75999999999, 3015.94, 0, 1324.7, 17507.75, 894.430000000001, 
15, 1, MaxAgeClearcut, 339, 1377, 0, 22554.44, 0, 244, 3, 25, 263, 52, 1, 9, 7, 5, 326, 41, 147, 128, 126, 0, 3406.6, 45.72, 387.87, 3737.74, 1059.57, 5.96, 73.63, 50.08, 34.44, 6066.21999999999, 1442.61, 1841.29, 2327.07, 2075.64, 
15, 2, MaxAgeClearcut, 277, 4918, 0, 67593.3600000001, 620, 284, 378, 338, 118, 453, 725, 0, 387, 423, 132, 1, 337, 304, 418, 3078.96000000001, 715.669999999998, 958.679999999999, 1506.74, 5478.6, 1532.47, 9115.59999999999, 0, 10727.64, 13440.72, 4078.22000000001, 3.84, 1705.1, 14243.36, 1007.76, 
20, 2, MaxAgeClearcut, 265, 5003, 0, 65743.74, 399, 431, 477, 487, 230, 644, 290, 0, 132, 202, 240, 0, 487, 417, 567, 1348.36, 1287.22, 1206.37, 2547.08, 10061.72, 2501.93, 3171.66, 0, 3659.04, 13951.03, 6116.28000000001, 0, 3022.4, 15378.13, 1492.52, 
25, 1, SelectiveNorthernHardwood, 411, 0, 2853, 5978.3, 0, 648, 655, 669, 0, 881, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1260.28, 798.05, 1926.37, 0, 1993.6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
30, 1, SelectiveNorthernHardwood, 409, 0, 2747, 5509.15, 0, 641, 610, 657, 0, 839, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1227.52, 688.32, 1760.61, 0, 1832.7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
35, 1, SelectiveNorthernHardwood, 408, 0, 2768, 6237.11, 0, 556, 756, 620, 0, 836, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1351.07, 803.63, 1990.7, 0, 2091.71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
35, 2, SelectiveNorthernHardwood, 29, 0, 59, 495.02, 0, 49, 4, 1, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 435.53, 12.79, 2.05, 0, 44.65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
40, 1, SelectiveNorthernHardwood, 421, 0, 2853, 6212.49, 0, 569, 788, 646, 0, 850, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1375.82, 793.23, 1960.66, 0, 2082.78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
40, 2, SelectiveNorthernHardwood, 28, 0, 44, 437.12, 0, 39, 0, 1, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 381.8, 0, 7.42, 0, 47.9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
45, 1, MaxAgeClearcut, 344, 2032, 0, 63212.71, 3, 515, 22, 14, 469, 32, 9, 15, 12, 32, 556, 17, 120, 106, 110, 7.13, 10898.6, 131.63, 190.09, 15731.79, 705.37, 90.46, 246.17, 174.8, 290.81, 23577.56, 284.1, 1366.04, 5328.12, 4190.04, 
45, 2, MaxAgeClearcut, 224, 4583, 0, 54879.25, 288, 381, 649, 467, 221, 649, 135, 2, 21, 88, 235, 3, 466, 406, 572, 855.93, 2506.51, 2576.45, 4386.21, 8561.99, 4665.26, 544.71, 57.24, 612.86, 6432.33, 1588.62, 164.28, 4555.99, 14463.91, 2906.96, 
50, 2, MaxAgeClearcut, 345, 5471, 0, 82966.8300000001, 263, 498, 662, 519, 302, 680, 105, 158, 98, 117, 344, 195, 527, 419, 584, 749.44, 3704.21, 2642.21, 5113.67000000001, 9551.55, 5380.54, 361.29, 3568.64999999999, 8423.25000000001, 10301.38, 5209.04999999999, 6355.93, 5253.82, 13236.27, 3115.57, 
